Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1881,NGC-CAC,MS,64,2257039,Carson City,2,10,10,0,0,2449,1971,167099,210152,22753,32108,100723,73798,25266,78676,,
1890,PCGS-CAC,MS,64,2287666,San Francisco,1,10,10,0,0,4024,1801,179549,208020,36383,35331,100743,77504,25151,69359,,
1884,PCGS,MS,63,2226459,Carson City,1,9,9,0,0,7384,2370,171419,156146,37813,30395,100747,55036,26679,57844,,
1885,NGC,MS,64,2286612,Carson City,1,10,9,0,0,3793,2735,172609,180962,30017,33185,100781,68848,26363,68154,,
1880,NGC,MS,65,2295087,San Francisco,2,10,10,0,0,711,910,166780,189402,17974,28605,100789,69371,24603,75808,,
1884,PCGS,MS,63,2071179,New Orleans,2,7,5,2.4,0,3918,2068,150275,190158,33090,34041,100795,69791,29793,85213,,
1880,NGC,MS,64,2075242,San Francisco,1,9,9,0,0,6148,2107,155264,191041,32313,33039,100848,71628,26058,68477,,
1896,PCGS,MS,64,2121296,Philadelphia,2,9,9,0,0,4412,2238,186311,225548,31032,37996,100877,76656,31760,83205,,
1881,PCGS,MS,65,2270537,San Francisco,3,9,10,0,0.35,3853,3013,168087,205461,23756,35823,100881,72380,27723,73476,,
1878,PCGS,MS,64,2009629,Philadelphia,1,10,10,1.05,0,2471,1852,174638,223431,31564,38196,100908,75276,27841,85874,,
1878,PCGS,MS,64,2156825,Philadelphia,2,10,10,0,0,2471,1852,174638,223431,31564,38196,100908,75276,27841,85874,,
1885,NGC,MS,64,2192904,New Orleans,2,9,9,0,0,4623,2892,141102,165953,24906,28351,100934,61090,23787,71659,,
1891,NGC,MS,62,2160414,Carson City,2,10,9,0,0,4911,3976,182828,199401,43987,46935,100974,60442,32588,80147,,
1880,PCGS,MS,65,2255060,San Francisco,3,9,9,1.05,0,5332,1838,181875,212113,29697,40625,100979,60679,30008,80820,,
1887,PCGS,MS,65,2281311,Philadelphia,1,9,9,0,0,5834,1282,165686,158400,30938,27797,100990,54313,25940,66179,,
1879,PCGS,MS,66,2203901,San Francisco,1,10,10,0,0,2154,1328,170600,197319,18566,31154,101001,70720,21684,68372,,
1880,NGC,MS,65,2273696,Philadelphia,1,10,10,0,0,2685,620,171753,196834,22695,30877,101075,72449,26063,71880,,
